Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2023-11-14 22:00:00,35575.99,35627.99,35450.0,35608.0,1096.43676,1700002799999,38990798.24456170,32622,564.78599000,20083840.29543590,0
2023-11-14 23:00:00,35608.0,35673.14,35518.0,35551.19,1252.57466,1700006399999,44608357.80925330,32676,599.75123000,21355393.13579520,0
2023-11-15 00:00:00,35551.2,35627.6,35480.27,35496.78,949.99352,1700009999999,33769839.55702860,36552,449.18734000,15968790.98220630,0
2023-11-15 01:00:00,35496.78,35665.45,35368.43,35424.17,1376.10732,1700013599999,48862368.84172280,35749,626.07096000,22235726.15739300,0
2023-11-15 02:00:00,35424.16,35515.04,35360.0,35480.6,2152.5118,1700017199999,76248097.55281940,37271,1113.34648000,39433989.96963760,0
2023-11-15 03:00:00,35480.6,35508.72,35370.0,35381.99,724.48299,1700020799999,25672054.25533950,24767,347.59261000,12316508.85661250,0
2023-11-15 04:00:00,35382.0,35578.85,35375.38,35578.84,667.27605,1700024399999,23675046.05589240,24968,366.61591000,13007890.17042880,0
2023-11-15 05:00:00,35578.85,35614.51,35536.21,35600.0,607.33952,1700027999999,21606985.94868730,24048,304.22615000,10823380.99544780,0
2023-11-15 06:00:00,35600.01,35615.62,35522.46,35581.84,773.7619,1700031599999,27524216.46423360,27467,350.02724000,12451845.49226160,0
2023-11-15 07:00:00,35581.83,35661.04,35551.53,35576.88,1152.27256,1700035199999,41039719.21379650,34422,537.04937000,19127860.19882350,0
2023-11-15 08:00:00,35576.88,35837.51,35576.88,35792.11,1855.55118,1700038799999,66311857.29136450,46902,1028.83276000,36761186.65242340,0
2023-11-15 09:00:00,35792.1,35950.0,35750.62,35782.57,1785.50199,1700042399999,63995979.06175060,44610,946.42960000,33926255.40652830,0
2023-11-15 10:00:00,35782.57,35879.94,35748.74,35868.56,975.2587,1700045999999,34920428.89523530,31697,501.77239000,17966195.45062100,0
2023-11-15 11:00:00,35868.55,36278.62,35868.55,36240.94,2663.0491,1700049599999,96162630.46745590,76965,1453.65276000,52485100.33006180,0
2023-11-15 12:00:00,36240.95,36397.3,36136.87,36190.71,2254.73415,1700053199999,81729170.79972350,62488,1236.34773000,44819281.62606700,0
2023-11-15 13:00:00,36190.71,36223.5,36002.35,36099.87,1815.4293,1700056799999,65543652.43145390,58540,907.07883000,32746889.39138890,0
2023-11-15 14:00:00,36099.87,36205.23,36012.34,36111.1,1648.73671,1700060399999,59529158.88165060,48669,804.81015000,29058248.83563960,0
2023-11-15 15:00:00,36111.11,36416.51,36104.7,36402.42,1944.1687,1700063999999,70485814.58248750,55720,1155.37754000,41888220.52634890,0
2023-11-15 16:00:00,36402.43,36554.99,36273.9,36372.01,2206.97324,1700067599999,80300908.20589590,67194,1200.98588000,43705362.20431500,0
2023-11-15 17:00:00,36372.0,36504.77,36254.0,36491.04,1735.48601,1700071199999,63142601.21362990,57792,839.73433000,30555902.31915950,0
2023-11-15 18:00:00,36491.05,37500.0,36450.0,37390.01,9953.50007,1700074799999,369202470.41218580,275464,5516.18943000,204573645.05531150,0
2023-11-15 19:00:00,37390.0,37774.14,37174.89,37499.99,5846.89628,1700078399999,219008201.49614220,156681,2996.85313000,112271257.74566830,0
2023-11-15 20:00:00,37499.99,37841.1,37306.49,37531.08,4261.16071,1700081999999,160097927.91186820,122973,2334.28209000,87700582.65433680,0
2023-11-15 21:00:00,37531.09,37726.8,37409.02,37621.19,2043.40981,1700085599999,76846015.44341720,65042,1002.25231000,37691410.03483380,0
2023-11-15 22:00:00,37621.19,37885.28,37494.68,37706.62,1999.69486,1700089199999,75310576.87405800,62767,1007.61331000,37952297.74706280,0
2023-11-15 23:00:00,37706.62,37980.0,37611.1,37858.2,2175.83738,1700092799999,82263934.65163460,66679,1115.81410000,42201673.19084310,0
2023-11-16 00:00:00,37858.2,37929.54,37670.24,37765.63,2094.90444,1700096399999,79184572.44768140,67838,923.23992000,34898273.56233950,0
2023-11-16 01:00:00,37765.62,37770.0,37382.63,37433.37,2091.77684,1700099999999,78681537.30458230,66542,809.06680000,30434199.20875890,0
2023-11-16 02:00:00,37433.37,37521.65,37337.57,37507.25,1048.08442,1700103599999,39253081.26728120,48252,521.12538000,19517560.03976500,0
2023-11-16 03:00:00,37507.25,37540.71,37380.0,37454.98,664.92102,1700107199999,24904424.09712330,32219,313.76538000,11752153.84943960,0
2023-11-16 04:00:00,37454.99,37507.22,37307.55,37436.18,1081.71682,1700110799999,40473558.30025690,34919,560.31639000,20970169.81966630,0
2023-11-16 05:00:00,37436.19,37464.7,37329.0,37455.32,803.92769,1700114399999,30064582.07710110,30784,388.19682000,14520018.36690840,0
2023-11-16 06:00:00,37455.33,37571.84,37411.19,37562.47,896.77065,1700117999999,33604636.63566770,36398,454.80393000,17044635.16572480,0
2023-11-16 07:00:00,37562.47,37621.1,37430.0,37437.25,963.17779,1700121599999,36137626.71770160,40228,459.71059000,17248726.68743910,0
2023-11-16 08:00:00,37437.25,37482.0,37181.18,37300.4,1654.63154,1700125199999,61783901.91740130,65060,686.52979000,25639376.47386180,0
2023-11-16 09:00:00,37300.4,37447.35,37182.78,37355.47,1283.33403,1700128799999,47905566.21873290,54904,601.29158000,22447348.18646430,0
2023-11-16 10:00:00,37355.46,37386.0,37290.89,37292.04,807.60584,1700132399999,30160432.56253500,34747,394.45760000,14731941.93017650,0
2023-11-16 11:00:00,37292.05,37544.0,37121.09,37247.48,2196.30943,1700135999999,82052386.64008850,75846,1126.98884000,42109565.76223420,0
2023-11-16 12:00:00,37247.49,37319.99,37040.0,37127.8,2369.72528,1700139599999,88077733.75076440,72542,1172.62437000,43581191.17950460,0
2023-11-16 13:00:00,37127.81,37155.0,36680.0,36770.0,3690.49428,1700143199999,136206173.66340210,109027,1600.15747000,59053410.56764840,0
2023-11-16 14:00:00,36770.0,36857.24,36426.28,36708.18,3454.97112,1700146799999,126611870.18157480,98799,1580.60340000,57937311.63026200,0
2023-11-16 15:00:00,36708.18,36912.83,36256.15,36406.0,3458.77619,1700150399999,126482334.48678240,110214,1713.19700000,62685006.18198990,0
2023-11-16 16:00:00,36406.0,36642.31,36372.77,36564.09,1948.58636,1700153999999,71184967.84612240,59592,912.41963000,33331926.87145450,0
2023-11-16 17:00:00,36564.09,36627.13,36305.22,36313.27,1265.07794,1700157599999,46165266.88654750,47526,559.34137000,20414735.47675230,0
2023-11-16 18:00:00,36313.28,36398.61,36080.0,36235.59,2616.07788,1700161199999,94786620.30286230,76449,1199.77186000,43473051.69688280,0
2023-11-16 19:00:00,36235.59,36265.83,35500.0,35921.01,5263.37961,1700164799999,188490395.65434980,148892,2333.76059000,83563578.75137660,0
2023-11-16 20:00:00,35921.01,36070.22,35666.0,35955.01,2756.33113,1700168399999,99022675.56536760,79629,1391.79425000,49998843.48324560,0
2023-11-16 21:00:00,35955.02,36053.67,35828.6,35963.33,1711.67416,1700171999999,61539385.90972420,52472,880.72071000,31665394.29043740,0
2023-11-16 22:00:00,35963.33,36273.32,35942.92,36217.58,1652.14225,1700175599999,59738978.24146180,48476,847.23557000,30633454.35832940,0
2023-11-16 23:00:00,36217.57,36241.33,36002.69,36163.51,1715.99895,1700179199999,61990630.34006010,51091,782.93004000,28280681.59246490,0
2023-11-17 00:00:00,36163.51,36375.98,36101.44,36368.01,1521.73396,1700182799999,55139258.01172900,46851,794.57004000,28794267.92232460,0
2023-11-17 01:00:00,36368.0,36575.0,36310.0,36562.0,1614.7334,1700186399999,58812541.63628220,48605,851.50353000,31009639.39870500,0
2023-11-17 02:00:00,36562.0,36673.69,36392.0,36451.99,1508.73876,1700189999999,55093572.75091940,46892,702.42937000,25652794.25537080,0
2023-11-17 03:00:00,36451.99,36505.68,36312.12,36483.99,938.61576,1700193599999,34176183.07705580,32896,445.00023000,16203927.50678010,0
2023-11-17 04:00:00,36484.0,36521.44,36366.14,36435.69,1152.7985,1700197199999,42009160.99261430,31976,463.74133000,16901667.45946260,0
2023-11-17 05:00:00,36435.69,36436.0,36145.55,36355.57,1820.80566,1700200799999,66113047.20854160,51915,729.31023000,26479092.14960400,0
2023-11-17 06:00:00,36355.57,36450.0,36268.0,36358.01,1393.71329,1700204399999,50682411.73575340,34706,699.93475000,25452708.36517310,0
2023-11-17 07:00:00,36358.01,36358.53,36211.1,36239.76,1299.38386,1700207999999,47132612.30256520,39855,571.52025000,20728813.73881060,0
2023-11-17 08:00:00,36239.76,36437.19,36164.48,36402.63,1184.77879,1700211599999,43039472.52117310,45615,601.30663000,21842544.37536740,0
2023-11-17 09:00:00,36402.62,36440.0,36250.49,36313.74,957.58276,1700215199999,34810609.50452460,38380,436.27611000,15859364.34821830,0
2023-11-17 10:00:00,36313.74,36374.43,36121.0,36363.94,1504.80969,1700218799999,54542959.14476650,61393,710.87608000,25770944.31932780,0
2023-11-17 11:00:00,36363.95,36464.0,36315.31,36372.83,1243.70986,1700222399999,45262944.06725530,46491,581.12131000,21148904.18708010,0
2023-11-17 12:00:00,36372.82,36525.7,36250.0,36525.69,1447.59235,1700225999999,52650427.33545560,63637,707.57155000,25742598.03226610,0
2023-11-17 13:00:00,36525.7,36620.0,36278.0,36341.0,1900.66495,1700229599999,69322707.07323130,75050,1000.43663000,36497426.12849550,0
2023-11-17 14:00:00,36341.01,36436.0,35861.1,36015.53,2757.9221,1700233199999,99694518.82074510,98873,1219.16172000,44072345.91933680,0
2023-11-17 15:00:00,36015.53,36167.26,35931.83,36044.8,2567.80583,1700236799999,92538247.29811570,93765,1156.22590000,41668529.70515210,0
2023-11-17 16:00:00,36044.79,36206.0,35909.17,35978.95,1989.40925,1700240399999,71731124.11506820,80802,980.88842000,35367927.32448860,0
2023-11-17 17:00:00,35978.95,36800.0,35952.0,36499.99,4839.52665,1700243999999,176411652.25940200,163396,2476.53303000,90263198.22286320,0
2023-11-17 18:00:00,36500.0,36542.2,36349.27,36472.19,1515.42914,1700247599999,55225175.52834370,49954,776.87023000,28312168.00964160,0
2023-11-17 19:00:00,36472.2,36576.55,36227.87,36322.4,1232.27026,1700251199999,44854263.71485300,46382,552.40088000,20110569.28187230,0
2023-11-17 20:00:00,36322.4,36520.01,36308.0,36483.27,1143.23969,1700254799999,41660374.18534720,42106,571.60527000,20827179.57070170,0
2023-11-17 21:00:00,36483.26,36514.59,36342.48,36396.38,844.15154,1700258399999,30731246.83464460,33560,391.45739000,14250329.12422920,0
2023-11-17 22:00:00,36396.38,36549.25,36396.38,36544.78,693.79761,1700261999999,25310494.47387460,30964,377.65469000,13776880.68233430,0
2023-11-17 23:00:00,36544.77,36723.59,36487.0,36613.92,1210.39746,1700265599999,44280046.60006580,45258,604.96854000,22132063.11414070,0
2023-11-18 00:00:00,36613.91,36613.92,36388.12,36400.01,1005.75727,1700269199999,36712312.49831390,35985,440.81212000,16088534.76584510,0
2023-11-18 01:00:00,36400.01,36456.53,36377.88,36405.46,507.51514,1700272799999,18486014.80771630,25492,236.98883000,8631509.90178630,0
2023-11-18 02:00:00,36405.47,36447.75,36390.44,36408.09,341.53256,1700276399999,12438100.14362490,19727,163.41072000,5951076.25635290,0
